AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP;;;;;;;;;;;
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;
COMBUSTÍVEL: TODOS;;;;;;;;;;;
TIPO RELATÓRIO: ESTADOS;;;;OBS: ATUALMENTE, O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
;;;;;;;;;;;
DATA INICIAL;DATA FINAL;REGIAO;ESTADOS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO DO SUL;GASOLINA ADITIVADA;36;R$/l;6,12;0,426;5,61;7,03;0,070
24/08/2025;30/08/2025;SUDESTE;MINAS GERAIS;GASOLINA ADITIVADA;143;R$/l;6,35;0,288;5,69;7,18;0,045
24/08/2025;30/08/2025;NORTE;PARA;GASOLINA ADITIVADA;77;R$/l;6,50;0,430;5,69;7,29;0,066
24/08/2025;30/08/2025;NORDESTE;PARAIBA;GASOLINA ADITIVADA;36;R$/l;6,11;0,128;5,79;6,39;0,021
24/08/2025;30/08/2025;SUL;PARANA;GASOLINA ADITIVADA;158;R$/l;6,60;0,350;5,69;7,19;0,053
24/08/2025;30/08/2025;NORDESTE;PERNAMBUCO;GASOLINA ADITIVADA;64;R$/l;6,52;0,390;5,43;6,94;0,060
24/08/2025;30/08/2025;NORDESTE;PIAUI;GASOLINA ADITIVADA;40;R$/l;6,08;0,212;5,69;6,45;0,035
24/08/2025;30/08/2025;SUDESTE;RIO DE JANEIRO;GASOLINA ADITIVADA;252;R$/l;6,28;0,378;5,49;7,79;0,060
24/08/2025;30/08/2025;NORDESTE;RIO GRANDE DO NORTE;GASOLINA ADITIVADA;38;R$/l;6,32;0,247;5,98;6,99;0,039
24/08/2025;30/08/2025;SUL;RIO GRANDE DO SUL;GASOLINA ADITIVADA;259;R$/l;6,19;0,384;5,49;7,49;0,062
